band,percentage,candidature,year,course_name,course_code
6,7.16,18712,2021,Biology,15030
5,24.14,18712,2021,Biology,15030
4,34.79,18712,2021,Biology,15030
3,25.15,18712,2021,Biology,15030
2,6.68,18712,2021,Biology,15030
1,2.05,18712,2021,Biology,15030
6,10.96,9885,2021,Chemistry,15050
5,29.42,9885,2021,Chemistry,15050
4,25.88,9885,2021,Chemistry,15050
3,22.42,9885,2021,Chemistry,15050
2,9.22,9885,2021,Chemistry,15050
1,2.06,9885,2021,Chemistry,15050
6,16.3,24412,2021,English Advanced,15140
5,52.47,24412,2021,English Advanced,15140
4,25.11,24412,2021,English Advanced,15140
3,5.4,24412,2021,English Advanced,15140
2,0.62,24412,2021,English Advanced,15140
1,0.08,24412,2021,English Advanced,15140
6,0.59,31343,2021,English Standard,15130
5,16.03,31343,2021,English Standard,15130
4,41.2,31343,2021,English Standard,15130
3,32.71,31343,2021,English Standard,15130
2,7.84,31343,2021,English Standard,15130
1,1.6,31343,2021,English Standard,15130
6,14.79,10694,2021,Legal Studies,15220
5,27.55,10694,2021,Legal Studies,15220
4,26.81,10694,2021,Legal Studies,15220
3,17.19,10694,2021,Legal Studies,15220
2,9.68,10694,2021,Legal Studies,15220
1,3.94,10694,2021,Legal Studies,15220
6,23.24,16770,2021,Mathematics Advanced,15255
5,26.97,16770,2021,Mathematics Advanced,15255
4,28.54,16770,2021,Mathematics Advanced,15255
3,15.08,16770,2021,Mathematics Advanced,15255
2,4.28,16770,2021,Mathematics Advanced,15255
1,1.87,16770,2021,Mathematics Advanced,15255
E4,37.26,8547,2021,Mathematics Extension 1,15250
E3,36.99,8547,2021,Mathematics Extension 1,15250
E2,19.93,8547,2021,Mathematics Extension 1,15250
E1,5.8,8547,2021,Mathematics Extension 1,15250
E4,42.81,3193,2021,Mathematics Extension 2,15260
E3,43.81,3193,2021,Mathematics Extension 2,15260
E2,11.96,3193,2021,Mathematics Extension 2,15260
E1,1.4,3193,2021,Mathematics Extension 2,15260
6,12.42,7922,2021,Physics,15330
