band,percentage,candidature,year,course_name,course_code,band_scale,count
6,7.16,18712,2021,Biology,15030,1-6,1340
5,24.14,18712,2021,Biology,15030,1-6,4517
4,34.79,18712,2021,Biology,15030,1-6,6510
3,25.15,18712,2021,Biology,15030,1-6,4706
2,6.68,18712,2021,Biology,15030,1-6,1250
1,2.05,18712,2021,Biology,15030,1-6,384
6,10.96,9885,2021,Chemistry,15050,1-6,1083
5,29.42,9885,2021,Chemistry,15050,1-6,2908
4,25.88,9885,2021,Chemistry,15050,1-6,2558
3,22.42,9885,2021,Chemistry,15050,1-6,2216
2,9.22,9885,2021,Chemistry,15050,1-6,911
1,2.06,9885,2021,Chemistry,15050,1-6,204
6,16.3,24412,2021,English Advanced,15140,1-6,3979
5,52.47,24412,2021,English Advanced,15140,1-6,12809
4,25.11,24412,2021,English Advanced,15140,1-6,6130
3,5.4,24412,2021,English Advanced,15140,1-6,1318
2,0.62,24412,2021,English Advanced,15140,1-6,151
1,0.08,24412,2021,English Advanced,15140,1-6,20
6,0.59,31343,2021,English Standard,15130,1-6,185
5,16.03,31343,2021,English Standard,15130,1-6,5024
4,41.2,31343,2021,English Standard,15130,1-6,12913
3,32.71,31343,2021,English Standard,15130,1-6,10252
2,7.84,31343,2021,English Standard,15130,1-6,2457
1,1.6,31343,2021,English Standard,15130,1-6,501
6,14.79,10694,2021,Legal Studies,15220,1-6,1582
5,27.55,10694,2021,Legal Studies,15220,1-6,2946
4,26.81,10694,2021,Legal Studies,15220,1-6,2867
3,17.19,10694,2021,Legal Studies,15220,1-6,1838
2,9.68,10694,2021,Legal Studies,15220,1-6,1035
1,3.94,10694,2021,Legal Studies,15220,1-6,421
6,23.24,16770,2021,Mathematics Advanced,15255,1-6,3897
5,26.97,16770,2021,Mathematics Advanced,15255,1-6,4523
4,28.54,16770,2021,Mathematics Advanced,15255,1-6,4786
3,15.08,16770,2021,Mathematics Advanced,15255,1-6,2529
2,4.28,16770,2021,Mathematics Advanced,15255,1-6,718
1,1.87,16770,2021,Mathematics Advanced,15255,1-6,314
E4,37.26,8547,2021,Mathematics Extension 1,15250,E1-E4,3185
E3,36.99,8547,2021,Mathematics Extension 1,15250,E1-E4,3162
E2,19.93,8547,2021,Mathematics Extension 1,15250,E1-E4,1703
E1,5.8,8547,2021,Mathematics Extension 1,15250,E1-E4,496
E4,42.81,3193,2021,Mathematics Extension 2,15260,E1-E4,1367
E3,43.81,3193,2021,Mathematics Extension 2,15260,E1-E4,1399
E2,11.96,3193,2021,Mathematics Extension 2,15260,E1-E4,382
E1,1.4,3193,2021,Mathematics Extension 2,15260,E1-E4,45
6,12.42,7922,2021,Physics,15330,1-6,984
5,28.19,7922,2021,Physics,15330,1-6,2233
4,30.71,7922,2021,Physics,15330,1-6,2433
3,19.51,7922,2021,Physics,15330,1-6,1546
2,7.39,7922,2021,Physics,15330,1-6,585
1,1.75,7922,2021,Physics,15330,1-6,139
6,6.35,18893,2022,Biology,15030,1-6,1200
5,20.47,18893,2022,Biology,15030,1-6,3867
4,26.51,18893,2022,Biology,15030,1-6,5009
3,26.4,18893,2022,Biology,15030,1-6,4988
2,16.0,18893,2022,Biology,15030,1-6,3023
1,4.24,18893,2022,Biology,15030,1-6,801
6,9.22,9930,2022,Chemistry,15050,1-6,916
5,23.94,9930,2022,Chemistry,15050,1-6,2377
4,30.8,9930,2022,Chemistry,15050,1-6,3058
3,20.56,9930,2022,Chemistry,15050,1-6,2042
2,11.36,9930,2022,Chemistry,15050,1-6,1128
1,4.08,9930,2022,Chemistry,15050,1-6,405
6,14.52,24661,2022,English Advanced,15140,1-6,3581
5,52.64,24661,2022,English Advanced,15140,1-6,12982
4,26.06,24661,2022,English Advanced,15140,1-6,6427
3,5.9,24661,2022,English Advanced,15140,1-6,1455
2,0.81,24661,2022,English Advanced,15140,1-6,200
1,0.04,24661,2022,English Advanced,15140,1-6,10
6,0.56,30646,2022,English Standard,15130,1-6,172
5,14.89,30646,2022,English Standard,15130,1-6,4563
4,40.25,30646,2022,English Standard,15130,1-6,12335
3,32.28,30646,2022,English Standard,15130,1-6,9893
2,10.69,30646,2022,English Standard,15130,1-6,3276
1,1.3,30646,2022,English Standard,15130,1-6,398
6,14.63,10225,2022,Legal Studies,15220,1-6,1496
5,26.33,10225,2022,Legal Studies,15220,1-6,2692
4,25.2,10225,2022,Legal Studies,15220,1-6,2577
3,18.65,10225,2022,Legal Studies,15220,1-6,1907
2,10.0,10225,2022,Legal Studies,15220,1-6,1022
1,5.17,10225,2022,Legal Studies,15220,1-6,529
6,22.58,16867,2022,Mathematics Advanced,15255,1-6,3809
